island,gen,idx,status,fitness,n_lines,rings,n_active,r_hub,r_bot,tether,m_airborne_kg,T_mass_1p5_N,T_rotary_actual_N,ratio
2,6,10,clearance_reject,1.0e9,16,9,2,1.312,1.312,25.0,200.84777405976945,3145.150797095445,2224.412579644859,0.7072514874959603
2,7,1,ok,-2.781,16,5,1,1.402,1.402,25.0,200.22172501682158,3135.347259786327,2224.412579644859,0.7094629064457926
2,7,2,ok,-4.443,6,4,1,1.507,1.5,25.0,79.1098808461378,1238.811363312958,2224.412579644859,1.7956023374665402
2,7,3,ok,-6.004,3,5,1,1.205,1.205,25.0,43.66985252114607,683.8426370861853,2224.412579644859,3.2528135261102684
2,7,4,clearance_reject,1.0e9,10,6,2,1.1,1.1,25.0,127.63849488912145,1998.7391735848648,2224.412579644859,1.1129078816498275
2,7,5,ok,4.117,11,3,1,2.106,1.5,25.0,139.95568928914608,2191.618750998995,2224.412579644859,1.014963290778068
2,7,6,reject,1.0e9,9,18,3,0.795,0.795,25.0,116.5620974210322,1825.2897017707542,2224.412579644859,1.2186627566500303
2,7,7,reject,1.0e9,13,18,1,1.022,1.022,25.0,164.13845152873034,2570.3057157405815,2224.412579644859,0.8654272392667265
2,7,8,clearance_reject,1.0e9,5,4,2,1.66,1.5,25.0,68.33584722579357,1070.0967206559037,2224.412579644859,2.0787023609243755
2,7,9,clearance_reject,1.0e9,3,4,2,1.215,1.215,25.0,43.069436781135465,674.4405013038837,2224.412579644859,3.2981598455971164
2,7,10,ok,-3.557,3,4,1,1.375,1.375,25.0,43.040777813950434,673.9917197631976,2224.412579644859,3.3003559456581915
2,8,1,reject,1.0e9,3,10,1,0.835,0.835,25.0,42.41050466550671,664.1220355981854,2224.412579644859,3.3494033632558127
2,8,2,ok,-7.131,3,7,1,0.7,0.7,25.0,42.09379831133198,659.1626117412827,2224.412579644859,3.3746036865906577
2,8,3,ok,-6.823,13,7,1,0.7,0.7,25.0,163.62337561494326,2562.2399483782306,2224.412579644859,0.8681515488246137
2,8,4,ok,3.677,16,5,1,0.995,0.995,25.0,201.27182753063178,3151.7912098067004,2224.412579644859,0.7057614009213771
2,8,5,ok,-5.505,14,4,1,1.236,1.236,25.0,177.19903253244757,2774.826263437301,2224.412579644859,0.8016403077032217
2,8,6,ok,-6.42,3,5,1,1.125,1.125,25.0,43.49054178180247,681.0347428119553,2224.412579644859,3.2662248191045005
2,8,7,reject,1.0e9,3,22,3,0.804,0.804,25.0,43.58814450502656,682.5631405459307,2224.412579644859,3.258911077245864
2,8,8,ok,-4.541,14,5,1,1.365,1.365,25.0,177.94240976493546,2786.467086972671,2224.412579644859,0.798291352531836
2,8,9,ok,-5.401,13,5,1,1.169,1.169,25.0,164.90441274465078,2582.3001903623385,2224.412579644859,0.8614074335535473
2,8,10,ok,-0.713,3,5,1,1.046,1.046,25.0,42.65812294360903,667.9995833001437,2224.412579644859,3.329961028801109
2,9,1,clearance_reject,1.0e9,7,7,2,1.005,1.005,25.0,91.63352639528918,1434.9238368807894,2224.412579644859,1.5501955730836874
2,9,2,reject,1.0e9,3,11,2,0.7,0.7,25.0,42.848218629778856,670.9763631110245,2224.412579644859,3.3151876905636866
2,9,3,ok,-6.719,3,6,1,0.843,0.843,25.0,42.07842416276124,658.9218621693329,2224.412579644859,3.3758366619094184
2,9,4,ok,-6.665,13,5,1,1.036,1.036,25.0,164.6504499748613,2578.323291880017,2224.412579644859,0.8627360993286843
2,9,5,reject,1.0e9,3,21,3,0.89,0.89,25.0,43.68947942280853,684.1499821175018,2224.412579644859,3.2513522440797478
2,9,6,ok,-4.13,3,8,2,0.989,0.989,25.0,42.580215115553784,666.7795953333615,2224.412579644859,3.33605376531168
2,9,7,reject,1.0e9,13,20,2,0.946,0.946,25.0,165.270643554365,2588.035136285866,2224.412579644859,0.8594986012582317
2,9,8,reject_twist,1.0e9,9,7,2,0.747,0.747,25.0,116.23848891820838,1820.2221945734855,2224.412579644859,1.2220555195274296
2,9,9,reject,1.0e9,5,16,1,1.169,1.169,25.0,66.88341575178676,1047.3525502035113,2224.412579644859,2.1238431884398743
2,9,10,ok,-6.933,3,7,1,0.7,0.7,25.0,42.1221350632643,659.6063475921989,2224.412579644859,3.3723334952199404
2,10,1,ok,-6.831,7,8,1,1.065,1.065,25.0,92.46384300600808,1447.9260768223035,2224.412579644859,1.5362749626877876
