wind_ms,power_w,cadence,con_rpm,tip_ms,con_time_days
6.38,161.0,98.0,103.4,24.98,0.628623587962952
6.38,154.0,99.0,106.74,24.76,0.628627418981471
7.1,154.0,99.0,100.33,24.41,0.628631249999989
7.1,154.0,99.0,105.28,24.49,0.628635081018508
7.0,154.0,99.0,98.83,24.22,0.628638912037026
7.0,154.0,99.0,101.47,23.91,0.628642743055545
6.89,156.0,100.0,108.41,24.39,0.628646574074063
6.89,163.0,103.0,99.39,24.04,0.628650405092582
6.53,179.0,112.0,105.91,24.46,0.6286542361111
6.53,179.0,112.0,105.99,24.72,0.628658067129619
6.12,182.0,114.0,96.52,24.02,0.628661898148137
6.12,183.0,112.0,102.93,24.23,0.628665729166656
6.43,183.0,112.0,96.49,23.68,0.628669560185175
6.43,193.0,118.0,95.14,23.04,0.628673391203693
6.69,186.0,109.0,102.69,23.4,0.628677222222212
6.69,196.0,119.0,93.49,22.84,0.62868105324073
5.45,185.0,110.0,94.31,22.72,0.628684884259249
5.45,185.0,110.0,96.17,22.78,0.628688715277767
4.58,211.0,125.0,99.82,22.61,0.628692546296286
4.58,205.0,120.0,98.85,22.92,0.628696377314804
4.99,205.0,120.0,100.08,23.26,0.628700208333323
4.99,205.0,120.0,107.1,23.91,0.628704039351841
5.2,198.0,117.0,98.12,23.81,0.62870787037036
5.2,198.0,116.0,109.1,24.41,0.628711701388878
5.56,200.0,115.0,110.56,25.03,0.628715532407397
5.56,200.0,115.0,101.57,24.7,0.628719363425915
4.84,195.0,114.0,113.98,25.64,0.628723194444434
4.84,187.0,109.0,113.75,25.91,0.628727025462952
4.53,174.0,103.0,106.46,25.67,0.628730856481471
4.53,173.0,101.0,109.68,26.15,0.62873468749999
4.89,173.0,101.0,112.57,26.06,0.628738518518508
4.89,165.0,98.0,99.65,25.23,0.628742349537027
4.37,165.0,98.0,105.67,25.19,0.628746180555545
4.37,165.0,98.0,102.41,24.76,0.628750011574064
5.3,181.0,104.0,99.37,23.98,0.628753842592582
5.3,201.0,116.0,100.4,24.02,0.628757673611101
5.5,219.0,123.0,99.13,23.64,0.628761504629619
5.5,223.0,126.0,103.44,23.7,0.628765335648138
6.43,223.0,123.0,94.87,23.44,0.628769166666656
6.43,228.0,126.0,91.76,22.93,0.628772997685175
6.22,228.0,126.0,100.18,22.99,0.628776828703693
6.22,245.0,130.0,93.28,22.39,0.628780659722212
6.07,245.0,130.0,101.85,22.8,0.62878449074073
6.07,245.0,130.0,100.63,23.32,0.628788321759249
6.43,253.0,134.0,101.0,23.37,0.628792152777767
6.43,253.0,134.0,106.91,24.17,0.628795983796286
6.43,227.0,125.0,100.63,24.1,0.628799814814805
6.43,227.0,125.0,107.15,24.49,0.628803645833323
6.58,191.0,105.0,115.01,25.31,0.628807476851842
6.58,194.0,107.0,105.84,25.25,0.62881130787036
6.48,194.0,107.0,109.27,25.76,0.628815138888879
6.48,176.0,98.0,119.58,26.49,0.628818969907397
6.94,173.0,98.0,117.95,26.66,0.628822800925916
6.94,173.0,98.0,115.91,27.26,0.628826631944434
6.48,173.0,98.0,114.88,27.59,0.628830462962953
6.48,203.0,114.0,115.89,27.37,0.628834293981471
5.92,231.0,131.0,112.79,27.06,0.62883812499999
5.92,231.0,131.0,114.28,26.97,0.628841956018508
5.61,231.0,131.0,109.74,26.67,0.628845787037027
5.61,266.0,136.0,109.76,26.3,0.628849618055545
5.66,293.0,137.0,106.87,25.96,0.628853449074064
5.66,262.0,135.0,100.72,25.16,0.628857280092582
